"year","valid_species_totals","available_name_totals","species_per_year","percent_species_per_year","smoothed_10_year_percent_species","lumps_per_year","percent_lumps_per_year","smoothed_10_year_percent_lumps","splits_per_year","percent_splits_per_year","smoothed_10_year_percent_splits","subspecies_per_year","percent_subspecies_per_year","smoothed_10_year_percent_subspecies"
1867,54,238,161,67.6470588235294,74.2483972345974,109,45.7983193277311,51.8002365789275,3,1.26050420168067,0.710661262229172,77,32.3529411764706,25.6164676302674
1868,14,88,71,80.6818181818182,78.2365790527793,57,64.7727272727273,55.6375093062002,0,0,0.710661262229172,16,18.1818181818182,21.5146494484492
1869,15,99,63,63.6363636363636,76.0927527298485,46,46.4646464646465,54.1645709675902,0,0,0.561407530885888,35,35.3535353535354,23.5574656703699
1870,19,59,58,98.3050847457627,82.9036533612875,37,62.7118644067797,58.4749730945427,0,0,0.522191844611378,0,0,16.5770735135072
1871,48,181,156,86.1878453038674,81.6414855107218,110,60.7734806629834,58.5999402084601,2,1.10497237569061,0.632689082180439,23,12.707182320442,17.7287441265038
1872,22,120,113,94.1666666666667,82.9500440692804,87,72.5,59.9039942625141,0,0,0.497553947045304,6,5,16.471987369747
1873,11,79,66,83.5443037974684,83.9459838829895,54,68.3544303797468,61.1733995646398,0,0,0.403214324403795,12,15.1898734177215,15.3494652775569
1874,14,60,48,80,83.1959838829895,37,61.6666666666667,60.8817328979731,3,5,0.903214324403795,12,20,16.0994652775569
1875,27,91,81,89.010989010989,83.9304161174217,53,58.2417582417582,60.8725753888156,0,0,0.736547657737128,7,7.69230769230769,15.0353627134543
1876,22,71,60,84.5070422535211,82.7687172419986,38,53.5211267605634,59.4805020183603,1,1.40845070422535,0.877392728159663,11,15.4929577464789,16.1970615888774
1877,38,129,120,93.0232558139535,85.3063369410411,81,62.7906976744186,61.1797398530291,2,1.55038759689922,0.906381067681518,9,6.97674418604651,13.659441889835
1878,23,90,56,62.2222222222222,83.4603773450815,31,34.4444444444444,58.1469115702008,0,0,0.906381067681518,11,12.2222222222222,13.0634822938754
1879,25,81,74,91.358024691358,86.2325434505809,48,59.2592592592593,59.4263728496621,0,0,0.906381067681518,7,8.64197530864197,10.3923262893861
