"museum_label","museum_name","museum_country","museum_subregion","museum_city","museum_city_latitude","museum_city_longitude","total_type_specimens","holotype_count","syntype_count","lectotype_count","neotype_count","nonexistent_count"
"UAMNH","University of Alabama Museum of Natural History","United States","Alabama","Tuscaloosa","33.24","-87.54",NA,NA,NA,NA,NA,NA
"UAN","Universidade Agostinho Neto","Angola","NA","Luanda","-8.82","13.24",NA,NA,NA,NA,NA,NA
"UAnk","Biology Department in the Natural Sciences Faculty of Ankara University","Turkey","NA","Ankara","39.93","32.85",7,7,0,0,0,0
"UANL","Universidad Autónoma de Nuevo León","Mexico","Nuevo León","Linares","24.86","-99.57",NA,NA,NA,NA,NA,NA
"UAnt","Université d'Antananarivo","Madagascar","NA","Antananarivo","-18.89","47.51",7,7,0,0,0,0
"UAP","Universidad Adventista del Plata","Argentina","NA","Libertador San Martín","NA","NA",NA,NA,NA,NA,NA,NA
"UAT","University of Arizona","United States","Arizona","Tucson","32.200000000000003","-110.89",NA,NA,NA,NA,NA,NA
"UATF","Universidad Autónoma Tomás Frías","Bolivia","NA","Potosí","-19.57","-65.75",NA,NA,NA,NA,NA,NA
"UBB","Universitatea Babeș-Bolyai","Romania","NA","Cluj-Napoca","46.78","23.59",NA,NA,NA,NA,NA,NA
"UBCMZ","Museum of Zoology, University of British Columbia","Canada","NA","NA","NA","NA",1,1,0,0,0,0
"UBQ","University of Baluchistan","Pakistan","NA","Quetta","30.21","67.02",NA,NA,NA,NA,NA,NA
"UC","University of Chicago","United States","Illinois","Chicago","41.84","-87.68",NA,NA,NA,NA,NA,NA
"UCL","University College, London","United Kingdom","NA","London","51.52","-0.1",NA,NA,NA,NA,NA,NA
"UCLA","University of California at Los Angeles","United States","California","Los Angeles","34.11","-118.41",52,52,0,0,0,0
"UCMa","Universidad Complutense de Madrid","Spain","NA","Madrid","40.42","-3.71",NA,NA,NA,NA,NA,NA
"UCMB","University of Colorado Museum","United States","Colorado","Boulder","40.03","-105.25",1,1,0,0,0,0
"UCMP","University of California Museum of Paleontology","United States","California","Berkeley","37.869999999999997","-122.27",19,19,0,0,0,0
"UCN","Universidad Católica del Norte","Chile","NA","Antofagasta","-23.65","-70.39",NA,NA,NA,NA,NA,NA
"UCR","University of California, Riverside","United States","California","Riverside","33.94","-117.4",NA,NA,NA,NA,NA,NA
"UD","University of Dicle","Turkey","NA","Diyarbakır","37.92","40.229999999999997",1,1,0,0,0,0
"UEAM","University of Edinburgh Anatomical Museum","United Kingdom","NA","Edinburgh","55.95","-3.22",1,1,0,0,0,0
"UEN","Institut für Paläontologie der Universität Erlangen-Nürnberg","Germany","Bavaria","Erlangen","49.6","11.01",NA,NA,NA,NA,NA,NA
"UERJ","Universidade do Estado do Rio de Janeiro","Brazil","Rio de Janeiro","NA","NA","NA",NA,NA,NA,NA,NA,NA
"UF","University of Florida","United States","Florida","Gainesville","29.651997000000001","-82.324991999999995",22,22,0,0,0,0
"UFAC","Laboratório de Pesquisas Paleontológicas, Universidade Federal do Acre","Brazil","Acre","Rio Branco","-9.98","-67.819999999999993",NA,NA,NA,NA,NA,NA
"UFMA","Universidade Federal do Maranhão","Brazil","Maranhão","NA","NA","NA",NA,NA,NA,NA,NA,NA
"UFMG","Departamento de Zoologia, Universidade Federal de Minas Gerais","Brazil","Minas Gerais","Belo Horizonte","-19.920000000000002","-43.94",4,4,0,0,0,0
"UFMT","Universidade Federal de Mato Grosso","Brazil","Mato Grosso","Cuiabá","-15.61","-56.09",4,4,0,0,0,0
"UFPA","Universidade Federal do Pará","Brazil","Pará","Belém","-1.44","-48.5",2,2,0,0,0,0
"UFPB","Universidade Federal de Paraíba","Brazil","Paraíba","NA","NA","NA",9,6,0,0,3,0
"UFPE","Universidade Federal de Pernambuco","Brazil","Pernambuco","NA","NA","NA",1,0,0,0,1,0
"UFRGS","Universidade Federal do Rio Grande do Sul","Brazil","Rio Grande do Sul","Porto Alegre","-30.04","-51.22",2,2,0,0,0,0
"UFRJ","Universidade Federal do Rio de Janeiro","Brazil","Rio de Janeiro","Rio de Janeiro","-22.91","-43.2",NA,NA,NA,NA,NA,NA
"UFRO","Universidade Federal de Rondônia","Brazil","Rondônia","Porto Velho","-8.76","-63.91",1,1,0,0,0,0
"UFSC","Universidade Federal de Santa Catarina","Brazil","Santa Catarina","NA","NA","NA",1,1,0,0,0,0
"UFSM","Universidade Federal de Santa Maria","Brazil","Rio Grande do Sul","Santa Maria","-29.69","-53.83",NA,NA,NA,NA,NA,NA
"UG","University of Georgia","United States","Georgia (United States)","Athens","NA","NA",NA,NA,NA,NA,NA,NA
"UHR","Hokkaido University","Japan","NA","Sapporo","43.06","141.34",1,1,0,0,0,0
"UIM","University of Iowa Museum","United States","Iowa","NA","NA","NA",1,1,0,0,0,0
"UIMNH","University of Illinois Museum of Natural History","United States","Illinois","NA","NA","NA",6,6,0,0,0,0
"UIS","Universidad Industrial de Santander","Colombia","NA","Bucaramanga","7.13","-73.13",1,1,0,0,0,0
"UIZ","Université Ibn Zohr","Morocco","NA","Agadir","30.42","-9.61",NA,NA,NA,NA,NA,NA
"UJF","Université Joseph Fourier","France","NA","Grenoble","45.19","5.72",NA,NA,NA,NA,NA,NA
"ULABG","Laboratorio de Biogeografía de la Universidad de los Andes","Venezuela","Mérida","Mérida","8.4","-71.13",NA,NA,NA,NA,NA,NA
"ULDG","University of Lomé","Togo","NA","Lomé","6.17","1.35",NA,NA,NA,NA,NA,NA
"ULj","University of Ljubljana","Slovenia","NA","Ljubljana","46.06","14.51",NA,NA,NA,NA,NA,NA
"ULP","Las Palmas University","Spain","NA","Las Palmas de Gran Canaria","NA","NA",NA,NA,NA,NA,NA,NA
"ULPS","University Louis Pasteur Strasbourg","France","NA","Strasbourg","48.58","7.76",8,0,8,0,0,0
"UMah","Université de Mahajanga","Madagascar","NA","Mahajanga","-15.72","46.31",2,2,0,0,0,0
"UMaZC","Zoological Collection of the University of Mandalay","Myanmar","NA","Mandalay","21.98","96.09",1,1,0,0,0,0
"ÜMB","Übersee-Museum Bremen","Germany","Bremen","Bremen","53.08","8.81",2,2,0,0,0,0
"UMJ","Universalmuseum Joanneum","Austria","Styria","Graz","47.08","15.42",NA,NA,NA,NA,NA,NA
"UMK","Uganda Museum","Uganda","NA","Kampala","0.32","32.58",NA,NA,NA,NA,NA,NA
"UMKC","University of Missouri","United States","Missouri","Kansas City","NA","NA",NA,NA,NA,NA,NA,NA
"UMMP","University of Michigan Museum of Paleontology","United States","Michigan","Ann Arbor","42.281388999999997","-83.748333000000002",10,10,0,0,0,0
"UMMZ","University of Michigan Museum of Zoology","United States","Michigan","Ann Arbor","42.281388999999997","-83.748333000000002",132,125,0,0,7,0
"UMNH","Museum of Zoology, University of Utah","United States","Utah","Salt Lake City","40.78","-111.93",40,40,0,0,0,0
"UMP","Uganda Museum of Paleontology","Uganda","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"UMPC","University of Montana Paleontology Center","United States","Montana","Missoula","46.87","-114.01",NA,NA,NA,NA,NA,NA
"UMPE","Colección Científica del Laboratorio de Paleobiología, campus Puerto Escondido, Universidad del Mar","Mexico","Oaxaca","Puerto Escondido","15.85","-97.07",NA,NA,NA,NA,NA,NA
"UMRCNRS","Unité Mixte de Recherche Chrono-environnement, Université de Bourgogne Franche-Comté, Centre national de la recherche scientifique","France","NA","NA","NA","NA",1,1,0,0,0,0
"UMVP","University of Minnesota","United States","Minnesota","NA","NA","NA",NA,NA,NA,NA,NA,NA
"UMZC","Cambridge University Museum","United Kingdom","NA","Cambridge","52.21","0.13",3,1,2,0,0,0
"UNAH","Universidad Nacional Autónoma de Honduras","Honduras","NA","NA","NA","NA",1,1,0,0,0,0
"UNB","Universidade Brasília","Brazil","NA","Brasilia","-15.78","-47.91",1,1,0,0,0,0
"UNBA","Universidad Nacional de Buenos Aires","Argentina","NA","Buenos Aires","-34.61","-58.37",NA,NA,NA,NA,NA,NA
"UNC","University of North Carolina at Chapel Hill","United States","North Carolina","Chapel Hill","35.93","-79.040000000000006",NA,NA,NA,NA,NA,NA
"UNCP","Universidad Nacional del Nordeste","Argentina","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"UNCUYO","Universidad Nacional de Cuyo","Argentina","NA","Mendoza","-32.89","-68.83",NA,NA,NA,NA,NA,NA
"UNCW","University of North Carolina at Wilmington","United States","North Carolina","Wilmington","NA","NA",NA,NA,NA,NA,NA,NA
"UNEFM","Universidad Nacional Experimental Francisco de Miranda","Venezuela","Falcón","Coro","11.42","-69.680000000000007",NA,NA,NA,NA,NA,NA
"UNESP","Universidade Estadual Paulista Júlio de Mesquita Filho","Brazil","São Paulo","Rio Claro","-22.41","-47.56",1,0,0,0,1,0
"UNHM","University of New Hampshire Museum","United States","New Hampshire","NA","NA","NA",1,1,0,0,0,0
"UNI","Universidad Nacional de Ingeniería","Peru","NA","Lima","-12.07","-77.05",NA,NA,NA,NA,NA,NA
"UNIOL","AG Zoosystematik & Morphologie, Carl von Ossietzky University of Oldenburg","Germany","Lower Saxony","Oldenburg","53.15","8.2100000000000009",NA,NA,NA,NA,NA,NA
"UNIPAMPA","Universidade Federal do Pampa","Brazil","Rio Grande do Sul","São Gabriel","-30.32","-54.32",NA,NA,NA,NA,NA,NA
